Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CL-Brain,0.743,754.767,1.751,1223,7.240
CL-Brain,0.717,756.640,1.941,1235,nan
CL-Brain,0.760,758.552,1.940,1244,6.240
CL-Brain,0.731,760.397,1.861,1235,nan
CL-Brain,0.757,762.204,1.762,1256,-0.010
CL-Brain,0.753,764.539,2.507,1262,16.490
CL-Brain,1.053,766.881,2.148,1759,4.312
CL-Brain,1.252,770.004,3.119,1981,0.490
CL-Brain,0.740,772.805,3.624,1223,4.490
CL-Brain,1.097,775.293,2.355,1755,6.990
CL-Brain,0.752,777.331,2.187,1201,-0.010
CL-Brain,0.756,779.463,2.375,1234,8.990
CL-Brain,0.742,781.503,2.176,1228,10.490
CL-Brain,0.904,783.348,1.537,1451,6.657
CL-Brain,0.744,785.352,2.110,1306,0.990
CL-Brain,0.772,787.637,2.646,1251,-0.010
CL-Brain,0.730,789.608,2.079,1220,10.990
CL-Brain,0.755,791.425,1.784,1303,0.657
CL-Brain,0.751,793.237,1.773,1210,4.490
CL-Brain,0.782,795.483,2.524,1317,3.790
CL-Brain,0.749,797.794,2.679,1268,-0.010
CL-Brain,0.735,799.696,1.952,1248,11.990
CL-Brain,0.715,801.782,2.404,1243,1.990
CL-Brain,0.887,803.585,1.474,1473,7.148
CL-Brain,1.113,806.847,3.705,1908,1.390
CL-Brain,0.756,808.748,1.909,1209,2.390
CL-Brain,0.764,811.388,3.321,1232,7.990
CL-Brain,0.913,813.527,2.055,1531,2.323
CL-Brain,0.738,815.443,1.982,1235,nan
CL-Brain,0.761,817.548,2.336,1235,nan
CL-Brain,0.740,819.946,2.855,1253,5.490
CL-Brain,0.805,821.756,1.647,1413,5.240
CL-Brain,0.726,823.607,1.866,1250,4.990
CL-Brain,0.744,825.793,2.493,1284,5.740
CL-Brain,0.733,827.803,2.197,1235,nan
CL-Brain,0.744,829.689,1.914,1235,7.990
CL-Brain,0.759,831.423,1.616,1204,-0.010
CL-Brain,0.754,833.716,2.688,1235,nan
CL-Brain,0.765,835.680,2.008,1215,12.990
CL-Brain,0.739,837.696,2.172,1212,5.990
CL-Brain,0.734,839.641,2.065,1225,32.990
CL-Brain,0.734,841.660,2.210,1235,nan
CL-Brain,0.989,843.791,1.855,1595,5.054
CL-Brain,0.738,846.405,3.206,1249,-0.010
CL-Brain,1.053,849.088,2.844,1745,5.990
CL-Brain,0.757,851.359,2.574,1223,7.990
CL-Brain,0.760,853.448,2.264,1230,-0.010
CL-Brain,0.965,855.754,2.284,1625,nan
CL-Brain,0.773,857.943,2.416,1219,16.490
CL-Brain,0.741,859.836,1.936,1286,22.990
CL-Brain,0.945,862.156,2.311,1560,nan
CL-Brain,0.745,864.306,2.442,1235,nan
CL-Brain,0.747,866.382,2.281,1202,-0.010
CL-Brain,0.771,868.304,1.941,1240,13.490
CL-Brain,0.742,870.126,1.809,1242,7.490
CL-Brain,0.729,872.180,2.287,1308,21.990
CL-Brain,0.747,874.307,2.376,1236,5.590
CL-Brain,0.769,876.370,2.179,1281,17.740
CL-Brain,0.767,878.222,1.817,1239,-0.010
CL-Brain,0.750,880.187,2.050,1300,nan
CL-Brain,0.961,882.244,1.803,1607,6.823
CL-Brain,0.740,884.764,3.019,1230,-0.010
CL-Brain,0.973,886.871,1.890,1607,1.657
CL-Brain,0.750,889.031,2.425,1222,1.590
CL-Brain,0.753,891.000,2.043,1237,-0.010
CL-Brain,0.736,893.063,2.019,1210,-0.010
CL-Brain,0.888,895.237,2.178,1527,-0.010
CL-Brain,0.743,897.317,2.289,1210,-0.010
CL-Brain,0.809,899.456,2.230,1280,6.323
CL-Brain,0.758,901.794,2.809,1229,5.490
CL-Brain,0.847,903.737,1.819,1374,12.490
CL-Brain,0.743,905.790,2.230,1247,8.790
CL-Brain,0.737,907.544,1.705,1202,0.657
CL-Brain,0.752,909.739,2.509,1232,9.657
CL-Brain,0.759,911.743,2.107,1253,9.990
CL-Brain,0.727,913.598,1.878,1219,-0.010
CL-Brain,0.761,915.480,1.863,1211,10.990
CL-Brain,0.734,917.406,2.017,1230,-0.010
CL-Brain,0.741,919.205,1.729,1210,5.946
CL-Brain,1.211,922.000,2.621,1963,-0.010
CL-Brain,0.730,924.387,2.866,1253,1.323
CL-Brain,1.130,927.024,2.536,1834,-0.010
CL-Brain,0.721,929.357,2.758,1247,1.490
CL-Brain,1.110,932.040,2.686,1885,nan
CL-Brain,0.729,934.420,2.843,1216,6.990
CL-Brain,0.756,936.252,1.791,1231,8.323
CL-Brain,0.891,938.443,2.188,1533,4.240
CL-Brain,0.739,940.731,2.646,1257,-0.010
CL-Brain,0.756,942.681,2.033,1255,3.990
CL-Brain,0.759,944.603,1.934,1261,9.190
CL-Brain,0.773,946.614,2.089,1288,5.323
CL-Brain,0.756,948.713,2.322,1246,0.990
CL-Brain,0.825,950.903,2.332,1329,-0.010
CL-Brain,0.757,952.672,1.673,1236,7.657
CL-Brain,0.755,954.844,2.414,1229,6.704
CL-Brain,1.007,956.869,1.641,1667,4.764
CL-Brain,0.732,959.446,3.128,1261,-0.010
CL-Brain,1.056,961.480,1.593,1690,nan
CL-Brain,0.743,963.961,3.025,1256,0.657
CL-Brain,0.753,966.368,2.866,1235,nan
CL-Brain,0.897,968.374,1.862,1545,5.657
CL-Brain,0.731,970.769,2.929,1235,2.490
CL-Brain,0.713,972.703,2.045,1217,7.490
CL-Brain,0.727,974.728,2.166,1260,8.823
CL-Brain,0.768,976.502,1.657,1292,3.323
CL-Brain,0.749,978.594,2.325,1224,2.157
CL-Brain,0.739,980.534,2.027,1241,9.990
CL-Brain,0.741,982.279,1.672,1211,2.490
CL-Brain,0.755,984.251,2.043,1272,3.657
CL-Brain,0.743,986.494,2.594,1209,-0.010
CL-Brain,0.740,988.411,1.977,1218,3.990
CL-Brain,0.752,990.148,1.621,1253,15.740
CL-Brain,0.735,991.913,1.691,1215,-0.010
CL-Brain,0.757,993.934,2.153,1217,-0.010
CL-Brain,1.122,996.442,2.248,1895,2.054
CL-Brain,1.140,999.426,3.086,1831,-0.010
CL-Brain,0.753,1001.519,2.306,1262,-0.010
CL-Brain,0.767,1003.945,2.870,1236,-0.010
CL-Brain,0.977,1006.201,2.149,1625,nan
CL-Brain,0.741,1008.316,2.381,1215,7.490
CL-Brain,0.752,1010.243,1.967,1206,-0.010
CL-Brain,0.723,1012.516,2.648,1227,1.790
CL-Brain,0.900,1014.471,1.741,1495,nan
CL-Brain,0.783,1016.776,2.700,1232,10.323
CL-Brain,0.739,1018.738,2.075,1202,-0.010
CL-Brain,0.733,1020.873,2.136,1238,14.990
CL-Brain,0.902,1023.088,2.225,1493,-0.010
CL-Brain,0.748,1025.178,2.297,1201,6.490
CL-Brain,0.739,1027.121,2.054,1215,21.990
CL-Brain,0.727,1028.846,1.668,1226,1.490
CL-Brain,0.736,1031.067,2.556,1254,6.657
CL-Brain,0.756,1032.977,1.939,1271,0.490
CL-Brain,0.817,1034.955,1.937,1438,6.840
CL-Brain,0.751,1037.071,2.289,1226,1.657
CL-Brain,1.110,1040.013,3.203,1820,nan
CL-Brain,0.759,1042.369,2.755,1214,2.657
CL-Brain,0.758,1044.387,2.144,1235,nan
CL-Brain,0.938,1046.780,2.484,1599,14.990
CL-Brain,0.730,1048.778,2.154,1240,4.490
CL-Brain,0.727,1050.717,2.036,1218,10.323
CL-Brain,0.892,1053.050,2.419,1524,10.740
CL-Brain,0.742,1055.074,2.230,1224,2.490
CL-Brain,0.755,1057.295,2.540,1234,-0.010
CL-Brain,0.735,1059.069,1.737,1235,nan
CL-Brain,0.753,1061.404,2.732,1232,18.990
CL-Brain,0.811,1063.306,1.847,1386,6.990
CL-Brain,0.750,1065.189,1.912,1232,19.990
CL-Brain,0.752,1067.056,1.855,1235,nan
CL-Brain,0.734,1069.268,2.515,1238,11.990
CL-Brain,0.764,1071.169,1.910,1283,15.990
CL-Brain,1.000,1073.333,1.909,1674,8.998
CL-Brain,0.740,1075.861,3.031,1211,0.190
CL-Brain,1.037,1078.503,2.787,1768,-0.010
CL-Brain,0.757,1080.830,2.703,1248,10.990
CL-Brain,0.748,1083.054,2.500,1265,5.323
CL-Brain,0.887,1085.337,2.420,1495,nan
CL-Brain,0.716,1087.212,1.945,1241,9.990
CL-Brain,0.739,1089.598,2.855,1239,15.323
CL-Brain,0.772,1091.690,2.237,1258,-0.010
CL-Brain,0.757,1093.618,2.005,1240,21.990
CL-Brain,0.752,1095.634,2.153,1221,10.157
CL-Brain,0.712,1097.461,1.866,1215,1.990
CL-Brain,0.749,1099.416,2.032,1253,10.190
CL-Brain,0.738,1101.626,2.559,1235,-0.010
CL-Brain,0.748,1103.563,2.007,1246,6.657
CL-Brain,0.748,1105.384,1.785,1245,-0.010
CL-Brain,0.744,1107.318,1.995,1227,-0.010
CL-Brain,0.752,1109.371,2.236,1315,0.657
CL-Brain,1.195,1112.176,2.660,1956,2.950
CL-Brain,0.758,1114.401,2.485,1221,0.990
CL-Brain,1.035,1117.033,2.726,1716,-0.010
CL-Brain,0.719,1119.229,2.571,1224,-0.010
CL-Brain,0.746,1121.265,2.170,1265,7.133
CL-Brain,0.804,1123.437,2.317,1367,5.657
CL-Brain,0.764,1125.203,1.667,1264,-0.010
